Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9209291,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
9214081,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
9219293,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
9224084,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
9229296,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
9234076,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
9239288,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
9244070,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
9249291,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
9254072,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
9259283,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
9264074,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
9269286,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
9274067,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
9279288,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
9284069,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
9289281,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
9294061,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
9299282,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
9304073,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
9309277,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
9314067,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
9319279,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
9324070,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
9329271,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
9334052,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
9339273,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
9344065,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
9349286,000000E0,false,Rx,0,8,00,00,00,08,07,00,00,0A,
9354067,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
9359288,000000E0,false,Rx,0,8,00,00,00,08,08,00,00,B1,
9364070,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
9369282,000000E0,false,Rx,0,8,00,00,00,08,09,00,00,AC,
9374072,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
9379284,000000E0,false,Rx,0,8,00,00,00,08,0A,00,00,8B,
9384066,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
9389277,000000E0,false,Rx,0,8,00,00,00,08,0B,00,00,96,
9394068,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
9399279,000000E0,false,Rx,0,8,00,00,00,08,0C,00,00,C5,
9404070,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
9409271,000000E0,false,Rx,0,8,00,00,00,08,0D,00,00,D8,
9414064,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
9419274,000000E0,false,Rx,0,8,00,00,00,08,0E,00,00,FF,
9424066,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
9429277,000000E0,false,Rx,0,8,00,00,00,08,0F,00,00,E2,
9434058,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
9439279,000000E0,false,Rx,0,8,00,00,00,08,00,00,00,59,
9444060,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
9449272,000000E0,false,Rx,0,8,00,00,00,08,01,00,00,44,
9454063,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
9459275,000000E0,false,Rx,0,8,00,00,00,08,02,00,00,63,
9464065,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
9469278,000000E0,false,Rx,0,8,00,00,00,08,03,00,00,7E,
9474060,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
9479271,000000E0,false,Rx,0,8,00,00,00,08,04,00,00,2D,
9484052,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
9489264,000000E0,false,Rx,0,8,00,00,00,08,05,00,00,30,
9494046,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
9499267,000000E0,false,Rx,0,8,00,00,00,08,06,00,00,17,
9504058,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
9509260,000000E0,false,Rx,0,8,00,00,00,08,07,00,00,0A,
9514050,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
9519261,000000E0,false,Rx,0,8,00,00,00,08,08,00,00,B1,
9524043,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
9529265,000000E0,false,Rx,0,8,00,00,00,08,09,00,00,AC,
9534045,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
9539256,000000E0,false,Rx,0,8,00,00,00,08,0A,00,00,8B,
9544038,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
9549250,000000E0,false,Rx,0,8,00,00,00,08,0B,00,00,96,
9554040,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
9559254,000000E0,false,Rx,0,8,00,00,00,08,0C,00,00,C5,
9564046,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
9569247,000000E0,false,Rx,0,8,00,00,00,08,0D,00,00,D8,
9574039,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
9579250,000000E0,false,Rx,0,8,00,00,00,08,0E,00,00,FF,
9584041,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
9589251,000000E0,false,Rx,0,8,00,00,00,08,0F,00,00,E2,
9594033,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
9599244,000000E0,false,Rx,0,8,00,00,00,08,00,00,00,59,
9604036,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
9609246,000000E0,false,Rx,0,8,00,00,00,08,01,00,00,44,
9614038,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
9619249,000000E0,false,Rx,0,8,00,00,00,08,02,00,00,63,
9624032,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
9629252,000000E0,false,Rx,0,8,00,00,00,08,03,00,00,7E,
9634035,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
9639245,000000E0,false,Rx,0,8,00,00,00,08,04,00,00,2D,
9644037,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
9649246,000000E0,false,Rx,0,8,00,00,00,08,05,00,00,30,
9654028,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
9659238,000000E0,false,Rx,0,8,00,00,00,08,06,00,00,17,
9664032,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
9669242,000000E0,false,Rx,0,8,00,00,00,08,07,00,00,0A,
