Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
717146,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
728646,00000312,false,Rx,0,8,00,10,8F,0C,00,FF,00,0D,
728889,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
729801,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
730040,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
731639,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
733458,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
735287,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
737105,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
738654,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
748692,00000312,false,Rx,0,8,00,10,8F,0D,00,FF,00,0E,
748945,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
749859,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
750095,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
751684,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
753504,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
755333,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
757151,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
768642,00000312,false,Rx,0,8,00,10,8F,0E,00,FF,00,0F,
768895,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
769132,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
769812,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
770038,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
771630,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
773458,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
775277,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
777106,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
788646,00000312,false,Rx,0,8,00,10,8F,00,00,FF,00,01,
788899,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
790717,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
792539,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
794360,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
796189,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
798653,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
808649,00000312,false,Rx,0,8,00,10,8F,01,00,FF,00,02,
808893,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
809806,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
810044,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
811635,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
813454,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
815283,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
817101,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
828682,00000312,false,Rx,0,8,00,10,8F,02,00,FF,00,03,
828925,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
829162,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
829833,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
830070,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
831661,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
833490,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
835319,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
837137,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
848567,00000312,false,Rx,0,8,00,10,8F,03,00,FF,00,04,
848809,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
849724,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
849961,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
851550,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
853378,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
855198,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
857016,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
858651,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
868647,00000312,false,Rx,0,8,00,10,8F,04,00,FF,00,05,
868901,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
869803,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
870040,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
871639,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
873457,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
875277,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
877106,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
888647,00000312,false,Rx,0,8,00,10,8F,05,00,FF,00,06,
888891,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
889127,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
889807,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
890044,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
891635,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
893454,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
895283,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
897112,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
908682,00000312,false,Rx,0,8,00,10,8F,06,00,FF,00,07,
908937,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
909848,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
910085,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
911685,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
913504,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
915322,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
917140,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
918659,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
928687,00000312,false,Rx,0,8,00,10,8F,07,00,FF,00,08,
928932,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
929855,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
930090,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
931680,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
933500,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
935318,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
937147,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
948688,00000312,false,Rx,0,8,00,10,8F,08,00,FF,00,09,
948933,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
949845,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
950082,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
951671,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
953491,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
955319,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
957137,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
968647,00000312,false,Rx,0,8,00,10,8F,09,00,FF,00,0A,
968892,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
969804,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
970051,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
971641,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
973460,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
975287,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
977106,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
978695,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
988662,00000312,false,Rx,0,8,00,10,8F,0A,00,FF,00,0B,
988917,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
989829,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
990066,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
991655,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
993474,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
995303,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
997121,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
1008612,00000312,false,Rx,0,8,00,10,8F,0B,00,FF,00,0C,
1008866,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1009102,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
1009772,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
1010009,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
1011601,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
1013430,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
1015249,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
1017067,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
1028648,00000312,false,Rx,0,8,00,10,8F,0C,00,FF,00,0D,
1028891,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
1029803,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
1030040,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
1031639,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
1033459,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
1035277,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
1037107,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
1038655,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1048644,00000312,false,Rx,0,8,00,10,8F,0D,00,FF,00,0E,
1048888,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
1049800,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
1050036,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
1051626,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
1053455,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
1055273,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
1057093,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
1068644,00000312,false,Rx,0,8,00,10,8F,0E,00,FF,00,0F,
1068888,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1069134,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
1069814,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
1070041,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
1071633,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
1073462,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
1075281,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
1077101,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
1088651,00000312,false,Rx,0,8,00,10,8F,00,00,FF,00,01,
1088894,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
1090721,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
1092534,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
1094355,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
1096183,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
1098658,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1108646,00000312,false,Rx,0,8,00,10,8F,01,00,FF,00,02,
1108899,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
1109801,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
1110040,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
1111629,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
1113458,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
1115276,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
1117105,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
1128646,00000312,false,Rx,0,8,00,10,8F,02,00,FF,00,03,
1128889,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1129135,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
1129805,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
1130043,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
1131634,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
1133463,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
