Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2510369,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
2515151,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
2520362,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
2525153,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
2530365,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
2535156,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
2540367,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
2545157,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
2550369,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
2555161,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
2560363,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
2565155,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
2570367,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
2575158,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
2580359,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
2585140,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
2590362,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
2595143,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
2600354,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
2605134,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
2610355,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
2615146,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
2620358,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
2625139,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
2630351,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
2635141,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
2640352,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
2645133,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
2650355,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
2655136,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
2660347,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
2665138,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
2670349,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
2675130,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
2680342,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
2685125,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
2690347,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
2695128,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
2700339,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
2705130,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
2710341,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
2715132,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
2720344,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
2725125,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
2730347,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
2735128,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
2740339,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
2745120,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
2750332,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
2755126,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
2760337,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
2765119,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
2770329,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
2775121,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
2780331,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
2785113,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
2790334,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
2795116,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
2800327,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
